No.,Time,Source,Destination,Protocol,Length,IP Len,TCP Len,HTTP Data Len,Info,File Data,TCP Seq,TCP Next Seq
1920,1429.540491,172.28.150.236,172.28.150.15,TCP,60,40,0,,68  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
1921,1429.549243,172.28.150.236,172.28.150.15,TCP,324,310,270,,[TCP segment of a reassembled PDU],,1,271
1922,1429.553508,172.28.150.236,172.28.150.15,TCP,136,122,82,,[TCP segment of a reassembled PDU],,271,353
1924,1429.577258,172.28.150.236,172.28.150.15,TCP,902,888,848,,[TCP segment of a reassembled PDU],,353,1201
1925,1429.60061,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,1201,2031
1927,1429.62346,172.28.150.236,172.28.150.15,TCP,876,862,822,,[TCP segment of a reassembled PDU],,2031,2853
1928,1429.646302,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,2853,3669
1930,1429.669127,172.28.150.236,172.28.150.15,TCP,874,860,820,,[TCP segment of a reassembled PDU],,3669,4489
1931,1429.691968,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,4489,5305
1933,1429.715037,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,5305,6135
1934,1429.737942,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,6135,6951
1936,1429.76072,172.28.150.236,172.28.150.15,TCP,868,854,814,,[TCP segment of a reassembled PDU],,6951,7765
1937,1429.783463,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,7765,8581
1939,1429.806321,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,8581,9397
1940,1429.812382,172.28.150.236,172.28.150.15,HTTP,195,181,141,9267,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Audit&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Audit%22%3A%7B%22Port%22%3A4%2C%22ListNumber%22%3A1%2C%22EVADTS%22%3A%22DXS%2ACOG0000000%2AVA%2AV0%2F6%2A1%5Cr%5CnST%2A001%2A0001%5Cr%5CnID1%2ACOG91619565%2A92%2A225%2,9397,9538
1944,1429.978972,172.28.150.236,172.28.150.15,TCP,60,40,0,,"68  >  8080 [RST, ACK] Seq=9538 Ack=290 Win=0 Len=0",,9538,
1997,1485.086076,172.28.150.236,172.28.150.15,TCP,60,44,0,,69  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
1999,1485.086352,172.28.150.236,172.28.150.15,TCP,60,40,0,,69  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2000,1485.095156,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2001,1485.099392,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2003,1485.103069,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2009,1485.668897,172.28.150.236,172.28.150.15,TCP,60,40,0,,"69  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2073,1545.461173,172.28.150.236,172.28.150.15,TCP,60,44,0,,70  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2077,1545.461663,172.28.150.236,172.28.150.15,TCP,60,40,0,,70  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2078,1545.470549,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2079,1545.474804,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2081,1545.478507,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2086,1545.900503,172.28.150.236,172.28.150.15,TCP,60,40,0,,"70  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2155,1605.736276,172.28.150.236,172.28.150.15,TCP,60,44,0,,71  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2159,1605.736767,172.28.150.236,172.28.150.15,TCP,60,40,0,,71  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2160,1605.745602,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2161,1605.749915,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2163,1605.753597,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2168,1606.27354,172.28.150.236,172.28.150.15,TCP,60,40,0,,"71  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2234,1666.111429,172.28.150.236,172.28.150.15,TCP,60,44,0,,72  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2236,1666.111688,172.28.150.236,172.28.150.15,TCP,60,40,0,,72  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2237,1666.120363,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2238,1666.124686,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2240,1666.128325,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2245,1666.59769,172.28.150.236,172.28.150.15,TCP,60,40,0,,"72  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2302,1726.436928,172.28.150.236,172.28.150.15,TCP,60,44,0,,73  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2306,1726.437367,172.28.150.236,172.28.150.15,TCP,60,40,0,,73  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2307,1726.446219,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2308,1726.450487,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2310,1726.454483,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2313,1726.613279,172.28.150.236,172.28.150.15,TCP,60,40,0,,"73  >  8080 [RST, ACK] Seq=398 Ack=289 Win=0 Len=0",,398,
2378,1786.661776,172.28.150.236,172.28.150.15,TCP,60,44,0,,74  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2380,1786.662036,172.28.150.236,172.28.150.15,TCP,60,40,0,,74  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2381,1786.670708,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2382,1786.674987,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2384,1786.678617,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2388,1787.110707,172.28.150.236,172.28.150.15,TCP,60,40,0,,"74  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2426,1825.450346,172.28.150.236,172.28.150.15,TCP,60,44,0,,75  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2428,1825.450608,172.28.150.236,172.28.150.15,TCP,60,40,0,,75  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2429,1825.459262,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2430,1825.463879,172.28.150.236,172.28.150.15,TCP,139,125,85,,[TCP segment of a reassembled PDU],,270,355
2432,1825.469836,172.28.150.236,172.28.150.15,HTTP,192,178,138,223,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Counters&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Counter%22%3A%7B%22TubesValue%22%3A0%2C%22BoxValue%22%3A0%2C%22BillValue%22%3A0%2C%22BillCont%22%3A0%2C%22Counters%22%3A%5B%5D%7D%7D,355,493
2437,1826.011087,172.28.150.236,172.28.150.15,TCP,60,40,0,,"75  >  8080 [RST, ACK] Seq=493 Ack=2 Win=0 Len=0",,493,
2461,1846.927274,172.28.150.236,172.28.150.15,TCP,60,44,0,,76  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2463,1846.927514,172.28.150.236,172.28.150.15,TCP,60,40,0,,76  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2464,1846.936205,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2465,1846.940482,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2467,1846.944412,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2471,1847.414346,172.28.150.236,172.28.150.15,TCP,60,40,0,,"76  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2535,1907.252209,172.28.150.236,172.28.150.15,TCP,60,44,0,,77  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2539,1907.252653,172.28.150.236,172.28.150.15,TCP,60,40,0,,77  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2540,1907.26151,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2541,1907.265929,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2543,1907.269672,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2548,1907.818368,172.28.150.236,172.28.150.15,TCP,60,40,0,,"77  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2606,1967.627356,172.28.150.236,172.28.150.15,TCP,60,44,0,,78  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2608,1967.627594,172.28.150.236,172.28.150.15,TCP,60,40,0,,78  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2609,1967.636468,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2610,1967.64075,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2612,1967.64443,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2616,1968.143573,172.28.150.236,172.28.150.15,TCP,60,40,0,,"78  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2689,2027.9528,172.28.150.236,172.28.150.15,TCP,60,44,0,,79  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2693,2027.95322,172.28.150.236,172.28.150.15,TCP,60,40,0,,79  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2694,2027.962025,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2695,2027.966418,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2697,2027.970454,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2701,2028.439415,172.28.150.236,172.28.150.15,TCP,60,40,0,,"79  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2761,2088.27773,172.28.150.236,172.28.150.15,TCP,60,44,0,,80  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2765,2088.278264,172.28.150.236,172.28.150.15,TCP,60,40,0,,80  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2766,2088.286895,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2767,2088.291216,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2769,2088.294874,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2774,2088.814985,172.28.150.236,172.28.150.15,TCP,60,40,0,,"80  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2789,2102.425991,172.28.150.236,172.28.150.15,TCP,60,44,0,,81  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2791,2102.426231,172.28.150.236,172.28.150.15,TCP,60,40,0,,81  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2792,2102.434962,172.28.150.236,172.28.150.15,TCP,324,310,270,,[TCP segment of a reassembled PDU],,1,271
2793,2102.439264,172.28.150.236,172.28.150.15,TCP,136,122,82,,[TCP segment of a reassembled PDU],,271,353
2795,2102.462942,172.28.150.236,172.28.150.15,TCP,902,888,848,,[TCP segment of a reassembled PDU],,353,1201
2796,2102.486297,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,1201,2031
2798,2102.509249,172.28.150.236,172.28.150.15,TCP,876,862,822,,[TCP segment of a reassembled PDU],,2031,2853
2799,2102.532106,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,2853,3669
2801,2102.554933,172.28.150.236,172.28.150.15,TCP,874,860,820,,[TCP segment of a reassembled PDU],,3669,4489
2802,2102.577583,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,4489,5305
2804,2102.600853,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,5305,6135
2805,2102.623565,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,6135,6951
2807,2102.646545,172.28.150.236,172.28.150.15,TCP,868,854,814,,[TCP segment of a reassembled PDU],,6951,7765
2808,2102.669271,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,7765,8581
2810,2102.692022,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,8581,9397
2811,2102.698144,172.28.150.236,172.28.150.15,HTTP,195,181,141,9267,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Audit&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Audit%22%3A%7B%22Port%22%3A4%2C%22ListNumber%22%3A1%2C%22EVADTS%22%3A%22DXS%2ACOG0000000%2AVA%2AV0%2F6%2A1%5Cr%5CnST%2A001%2A0001%5Cr%5CnID1%2ACOG91619565%2A92%2A225%2,9397,9538
2817,2103.215536,172.28.150.236,172.28.150.15,TCP,60,40,0,,"81  >  8080 [RST, ACK] Seq=9538 Ack=2 Win=0 Len=0",,9538,
2868,2148.572832,172.28.150.236,172.28.150.15,TCP,60,44,0,,82  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2870,2148.573091,172.28.150.236,172.28.150.15,TCP,60,40,0,,82  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2871,2148.581788,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2872,2148.586079,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2874,2148.589723,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2879,2149.128798,172.28.150.236,172.28.150.15,TCP,60,40,0,,"82  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
2937,2208.947969,172.28.150.236,172.28.150.15,TCP,60,44,0,,83  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
2941,2208.948481,172.28.150.236,172.28.150.15,TCP,60,40,0,,83  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
2942,2208.957214,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
2943,2208.961481,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
2945,2208.965174,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
2949,2209.448863,172.28.150.236,172.28.150.15,TCP,60,40,0,,"83  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3014,2269.273591,172.28.150.236,172.28.150.15,TCP,60,44,0,,84  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3018,2269.273927,172.28.150.236,172.28.150.15,TCP,60,40,0,,84  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3019,2269.282688,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3020,2269.287023,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3022,2269.290941,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3026,2269.711634,172.28.150.236,172.28.150.15,TCP,60,40,0,,"84  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3081,2327.11848,172.28.150.236,172.28.150.15,TCP,60,44,0,,85  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3083,2327.11872,172.28.150.236,172.28.150.15,TCP,60,40,0,,85  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3084,2327.127463,172.28.150.236,172.28.150.15,TCP,324,310,270,,[TCP segment of a reassembled PDU],,1,271
3085,2327.131814,172.28.150.236,172.28.150.15,TCP,136,122,82,,[TCP segment of a reassembled PDU],,271,353
3087,2327.1555,172.28.150.236,172.28.150.15,TCP,902,888,848,,[TCP segment of a reassembled PDU],,353,1201
3088,2327.178621,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,1201,2031
3090,2327.201684,172.28.150.236,172.28.150.15,TCP,876,862,822,,[TCP segment of a reassembled PDU],,2031,2853
3091,2327.224388,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,2853,3669
3093,2327.247378,172.28.150.236,172.28.150.15,TCP,874,860,820,,[TCP segment of a reassembled PDU],,3669,4489
3094,2327.270217,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,4489,5305
3096,2327.293308,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,5305,6135
3097,2327.319253,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,6135,6951
3099,2327.341996,172.28.150.236,172.28.150.15,TCP,868,854,814,,[TCP segment of a reassembled PDU],,6951,7765
3100,2327.364705,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,7765,8581
3102,2327.387697,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,8581,9397
3103,2327.393674,172.28.150.236,172.28.150.15,HTTP,195,181,141,9267,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Audit&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Audit%22%3A%7B%22Port%22%3A4%2C%22ListNumber%22%3A1%2C%22EVADTS%22%3A%22DXS%2ACOG0000000%2AVA%2AV0%2F6%2A1%5Cr%5CnST%2A001%2A0001%5Cr%5CnID1%2ACOG91619565%2A92%2A225%2,9397,9538
3108,2327.874315,172.28.150.236,172.28.150.15,TCP,60,40,0,,"85  >  8080 [RST, ACK] Seq=9538 Ack=2 Win=0 Len=0",,9538,
3117,2334.438032,172.28.150.236,172.28.150.15,TCP,60,44,0,,86  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3119,2334.438287,172.28.150.236,172.28.150.15,TCP,60,40,0,,86  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3120,2334.447059,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3121,2334.451391,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3123,2334.45515,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3128,2334.91079,172.28.150.236,172.28.150.15,TCP,60,40,0,,"86  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3192,2394.64343,172.28.150.236,172.28.150.15,TCP,60,44,0,,87  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3194,2394.64369,172.28.150.236,172.28.150.15,TCP,60,40,0,,87  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3195,2394.652365,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3196,2394.656687,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3198,2394.660634,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3203,2395.149204,172.28.150.236,172.28.150.15,TCP,60,40,0,,"87  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3234,2425.432019,172.28.150.236,172.28.150.15,TCP,60,44,0,,88  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3236,2425.432278,172.28.150.236,172.28.150.15,TCP,60,40,0,,88  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3237,2425.440953,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3238,2425.445374,172.28.150.236,172.28.150.15,TCP,139,125,85,,[TCP segment of a reassembled PDU],,270,355
3240,2425.451473,172.28.150.236,172.28.150.15,HTTP,192,178,138,223,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Counters&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Counter%22%3A%7B%22TubesValue%22%3A0%2C%22BoxValue%22%3A0%2C%22BillValue%22%3A0%2C%22BillCont%22%3A0%2C%22Counters%22%3A%5B%5D%7D%7D,355,493
3245,2425.99875,172.28.150.236,172.28.150.15,TCP,60,40,0,,"88  >  8080 [RST, ACK] Seq=493 Ack=2 Win=0 Len=0",,493,
3279,2454.95867,172.28.150.236,172.28.150.15,TCP,60,44,0,,89  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3281,2454.958926,172.28.150.236,172.28.150.15,TCP,60,40,0,,89  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3282,2454.967711,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3283,2454.97211,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
3285,2454.976007,172.28.150.236,172.28.150.15,HTTP,101,87,47,128,POST /Cloud4Vend/WSGateway HTTP/1.1  (application/x-www-form-urlencoded),pTipAction=Ping&pCodApp=1234567890&pDeviceSerial=91619565&pDeviceType=CENG&pData=%7B%22Ping%22%3A%7B%22PartialSales%22%3A0%7D%7D,351,398
3290,2455.429872,172.28.150.236,172.28.150.15,TCP,60,40,0,,"89  >  8080 [RST, ACK] Seq=398 Ack=2 Win=0 Len=0",,398,
3356,2515.233812,172.28.150.236,172.28.150.15,TCP,60,44,0,,90  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
3360,2515.234238,172.28.150.236,172.28.150.15,TCP,60,40,0,,90  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
3361,2515.242886,172.28.150.236,172.28.150.15,TCP,323,309,269,,[TCP segment of a reassembled PDU],,1,270
3362,2515.247174,172.28.150.236,172.28.150.15,TCP,135,121,81,,[TCP segment of a reassembled PDU],,270,351
